sentence,sentiment,Cleaned_Text,Lemmatized_Text
So there is no way for me to plug it in here in the US unless I go by a converter.,negative,so there is no way for me to plug it in here in the us unless i go by a converter,so there be no way for I to plug it in here in the we unless I go by a converter
"Good case, Excellent value.",positive,good case excellent value,good case excellent value
Great for the jawbone.,positive,great for the jawbone,great for the jawbone
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative,tied to charger for conversations lasting more than 45 minutesmajor problems,tie to charger for conversation last more than 45 minutesmajor problem
The mic is great.,positive,the mic is great,the mic be great
I have to jiggle the plug to get it to line up right to get decent volume.,negative,i have to jiggle the plug to get it to line up right to get decent volume,I have to jiggle the plug to get it to line up right to get decent volume
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",negative,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,if you have several dozen or several hundred contact then imagine the fun of send each of they one by one
If you are Razr owner...you must have this!,positive,if you are razr owneryou must have this,if you be razr owneryou must have this
"Needless to say, I wasted my money.",negative,needless to say i wasted my money,needless to say I waste my money
What a waste of money and time!.,negative,what a waste of money and time,what a waste of money and time
And the sound quality is great.,positive,and the sound quality is great,and the sound quality be great
He was very impressed when going from the original battery to the extended battery.,positive,he was very impressed when going from the original battery to the extended battery,he be very impressed when go from the original battery to the extended battery
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative,if the two were seperated by a mere 5 ft i started to notice excessive static and garbled sound from the headset,if the two be seperate by a mere 5 ft I start to notice excessive static and garbled sound from the headset
Very good quality though,positive,very good quality though,very good quality though
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",negative,the design is very odd as the ear clip is not very comfortable at all,the design be very odd as the ear clip be not very comfortable at all
Highly recommend for any one who has a blue tooth phone.,positive,highly recommend for any one who has a blue tooth phone,highly recommend for any one who have a blue tooth phone
I advise EVERYONE DO NOT BE FOOLED!,negative,i advise everyone do not be fooled,I advise everyone do not be fool
So Far So Good!.,positive,so far so good,so far so good
Works great!.,positive,works great,work great
It clicks into place in a way that makes you wonder how long that mechanism would last.,negative,it clicks into place in a way that makes you wonder how long that mechanism would last,it click into place in a way that make you wonder how long that mechanism would last
"I went on Motorola's website and followed all directions, but could not get it to pair again.",negative,i went on motorolas website and followed all directions but could not get it to pair again,I go on motorolas website and follow all direction but could not get it to pair again
I bought this to use with my Kindle Fire and absolutely loved it!,positive,i bought this to use with my kindle fire and absolutely loved it,I buy this to use with my kindle fire and absolutely love it
The commercials are the most misleading.,negative,the commercials are the most misleading,the commercial be the most misleading
